REGISTRO,CUESTIONARIO,GENERO,GRUPO DE EDAD,Acepta contestar la encuesta?, ¿En qué municipio vive?, ¿Que tan seguro considera es vivir en SU MUNICIPIO?,¿Qué tan seguro considera que es vivir en EL ESTADO?,¿Qué tan seguro considera que es vivir en EL PAIS?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en SU MUNICIPIO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL ESTADO...?,Por lo que ha observado ¿considera que la inseguridad en los últimos TRES MESES en EL PAIS...?,"En este momento, ¿Cuánta confianza le tiene a Tránsito de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Policía de su Municipio?","En este momento, ¿Cuánta confianza le tiene a La Fuerza Civil?","En este momento, ¿Cuánta confianza le tiene a La Policía Federal?","En este momento, ¿Cuánta confianza le tiene a El Ejército?","En este momento, ¿Cuánta confianza le tiene a La Marina?",¿En alguna ocasión los elementos de Tránsito de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía de su Municipio le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Fuerza Civil le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Policía Federal le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de El Ejército le han pedido a usted algún soborno?,¿En alguna ocasión los elementos de La Marina le han pedido a usted algún soborno?,¿Qué tan comprometido considera que está el ALCALDE ACTUAL DE SU MUNICIPIO en resolver el problema de inseguridad?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad  EN LOS PRÓXIMOS TRES MESES en SU MUNICIPIO…,¿Qué tan comprometido considera que está el GOBERNADOR DEL ESTADO en resolver el problema de inseguridad en el Estado?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL ESTADO…,¿Qué tan comprometido considera que está el PRESIDENTE DE LA REPÚBLICA en resolver el problema de inseguridad en el País?,Por lo que usted sabe de las acciones de las autoridades ¿considera que  la inseguridad EN LOS PRÓXIMOS TRES MESES en EL PAIS…
19,ASCENDENTE,Femenino,NO PROPORCIONADO/NO REGISTRADO,CONTINUAR ENTREVISTA,Juárez,INSEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,No sabe,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,No sabe,No sabe,COMPROMETIDO,VA A BAJAR?,No sabe,VA A BAJAR?
20,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,INSEGURO,INSEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
21,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,García,SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?
22,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Juárez,INSEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
23,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,SEGURO,SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
24,ASCENDENTE,Masculino,40-49 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
25,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Juárez,SEGURO,SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
26,ASCENDENTE,Masculino,30-39 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,INSEGURO,HA AUMENTADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,SI,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
27,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,POCO SEGURO,POCO SEGURO,INSEGURO,HA BAJADO?,SIGUE IGUAL?,HA AUMENTADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
28,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,SI,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
29,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Juárez,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
30,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Guadalupe,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
31,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,No sabe,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,No contestó,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
32,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
33,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,García,INSEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,SI,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
34,ASCENDENTE,Masculino,18-29 años,CONTINUAR ENTREVISTA,Juárez,SEGURO,SEGURO,SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
35,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Juárez,INSEGURO,POCO SEGURO,INSEGURO,SIGUE IGUAL?,SIGUE IGUAL?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
36,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,POCO SEGURO,SEGURO,SIGUE IGUAL?,SIGUE IGUAL?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
37,ASCENDENTE,Femenino,50-59 años,CONTINUAR ENTREVISTA,Guadalupe,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,No sabe,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
38,ASCENDENTE,Femenino,18-29 años,CONTINUAR ENTREVISTA,Guadalupe,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA AUMENTADO?,HA AUMENTADO?,HA AUMENTADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A BAJAR?,UN POCO COMPROMETIDO,VA A BAJAR?,COMPROMETIDO,VA A BAJAR?
39,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,Monterrey,SEGURO,POCO SEGURO,POCO SEGURO,SIGUE IGUAL?,HA AUMENTADO?,HA AUMENTADO?,MUCHA CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A BAJAR?
40,ASCENDENTE,Femenino,40-49 años,CONTINUAR ENTREVISTA,Juárez,INSEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,SIGUE IGUAL?,NADA DE CONFIANZA,NADA DE CONFIANZA,MUCHA CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?
41,ASCENDENTE,Masculino,50-59 años,CONTINUAR ENTREVISTA,García,SEGURO,SEGURO,POCO SEGURO,SIGUE IGUAL?,HA BAJADO?,HA BAJADO?,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
42,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,García,SEGURO,POCO SEGURO,POCO SEGURO,No sabe,HA AUMENTADO?,SIGUE IGUAL?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NADA DE CONFIANZA,NADA DE CONFIANZA,No sabe,ALGO DE CONFIANZA,NO,NO,NO,NO,NO,NO,COMPROMETIDO,No contestó,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A AUMENTAR?
43,ASCENDENTE,Femenino,30-39 años,CONTINUAR ENTREVISTA,García,POCO SEGURO,INSEGURO,INSEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,NO,SI,NO,NO,NO,NO,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,UN POCO COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A BAJAR?
44,ASCENDENTE,Femenino,60 años o más,CONTINUAR ENTREVISTA,Juárez,POCO SEGURO,POCO SEGURO,POCO SEGURO,HA BAJADO?,HA BAJADO?,HA BAJADO?,NADA DE CONFIANZA,NADA DE CONFIANZA,ALGO DE CONFIANZA,ALGO DE CONFIANZA,MUCHA CONFIANZA,MUCHA CONFIANZA,NO,NO,NO,NO,NO,NO,NADA COMPROMETIDO,VA A BAJAR?,NADA COMPROMETIDO,VA A SEGUIR IGUAL?,COMPROMETIDO,VA A SEGUIR IGUAL?
